issue_date,applicant_id,year,month,region,region_unemp,gender,race,age_group,education,employment_status,annual_income,credit_score,loan_amount,debt_to_income,interest_rate,default,GDP,Unemployment,InterestRate,CPI,ConsumerSentiment,income_buckets
2015-01-14,201501_0,2015,1,MW,1.0,female,white,18-29,master,employed,94174.62245877908,628,31393.64,0.258,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-04,201501_1,2015,1,W,1.0,female,asian,45-59,other,unemployed,8895.463126424622,568,2965.35,0.292,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-06,201501_2,2015,1,S,1.0,female,white,30-44,other,employed,41250.20839978987,567,13750.99,0.262,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-19,201501_3,2015,1,S,1.0,female,white,18-29,bachelor,employed,88125.14044703601,589,29377.01,0.192,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-06,201501_4,2015,1,NE,1.0,male,white,18-29,master,employed,108926.33589918299,627,36311.2,0.406,0.0496,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-02,201501_5,2015,1,NE,1.0,female,white,45-59,other,employed,40740.95425513098,568,13581.23,0.374,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-18,201501_6,2015,1,NE,1.0,male,hispanic,18-29,master,employed,102672.70300868849,595,34226.52,0.254,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-13,201501_7,2015,1,W,1.0,male,black,45-59,highschool,employed,37586.945491039136,585,12529.82,0.22,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-09,201501_8,2015,1,S,1.0,female,white,45-59,bachelor,employed,42385.491881299815,579,14129.44,0.268,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-23,201501_9,2015,1,S,1.0,male,white,18-29,highschool,employed,30821.82347077522,635,10274.63,0.32,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-19,201501_10,2015,1,NE,1.0,female,white,18-29,other,employed,23564.17077653009,487,7855.25,0.344,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-13,201501_11,2015,1,W,1.0,female,white,60+,bachelor,employed,75594.61302997143,641,25199.89,0.378,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-11,201501_12,2015,1,W,1.0,female,white,30-44,highschool,employed,51576.0953549303,636,17193.18,0.236,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-01,201501_13,2015,1,NE,1.0,male,white,30-44,bachelor,employed,94530.27419390244,539,31512.2,0.192,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-24,201501_14,2015,1,NE,1.0,male,white,45-59,bachelor,employed,79524.62863922583,593,26509.98,0.15,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-22,201501_15,2015,1,NE,1.0,female,black,60+,bachelor,unemployed,10009.608763680397,556,3336.76,0.186,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-07,201501_16,2015,1,MW,1.0,male,black,60+,highschool,employed,45602.65843358927,535,15201.9,0.236,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-25,201501_17,2015,1,S,1.0,female,white,45-59,bachelor,employed,40461.736786921414,560,13488.15,0.374,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-21,201501_18,2015,1,MW,1.0,female,white,30-44,bachelor,employed,71281.73668775572,562,23762.17,0.212,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-15,201501_19,2015,1,MW,1.0,female,black,18-29,master,employed,82198.13784321492,672,27401.21,0.314,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-01,201501_20,2015,1,S,1.0,male,white,45-59,bachelor,employed,48607.19005917045,624,16203.48,0.246,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-12,201501_21,2015,1,NE,1.0,male,hispanic,30-44,master,employed,102033.78636963305,664,34013.53,0.33,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-26,201501_22,2015,1,MW,1.0,female,black,30-44,bachelor,employed,60066.570283866626,616,20023.53,0.424,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-07,201501_23,2015,1,MW,1.0,male,white,60+,bachelor,employed,64044.132143531766,558,21349.47,0.2,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-15,201501_24,2015,1,MW,1.0,male,white,18-29,master,employed,96824.69211743007,604,32277.05,0.264,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-21,201501_25,2015,1,S,1.0,female,black,30-44,bachelor,employed,78588.00308798676,616,26197.75,0.32,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-19,201501_26,2015,1,NE,1.0,female,white,18-29,highschool,employed,51058.468355603654,549,17020.63,0.346,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-25,201501_27,2015,1,S,1.0,female,white,30-44,highschool,employed,44791.114213236644,614,14931.37,0.376,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-01,201501_28,2015,1,S,1.0,female,other,18-29,master,employed,75701.93679259175,605,25235.66,0.338,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-17,201501_29,2015,1,NE,1.0,male,white,18-29,bachelor,employed,66439.72484079354,586,22148.05,0.272,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-17,201501_30,2015,1,S,1.0,female,white,18-29,master,employed,94295.64523461409,646,31433.98,0.338,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-03,201501_31,2015,1,NE,1.0,female,black,30-44,highschool,self-employed,26669.665908596184,592,8890.48,0.326,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-12,201501_32,2015,1,NE,1.0,male,white,45-59,highschool,employed,49832.00637704786,579,16611.78,0.304,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-06,201501_33,2015,1,W,1.0,female,white,30-44,highschool,employed,46060.07426687893,630,15354.38,0.282,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-26,201501_34,2015,1,W,1.0,female,other,60+,bachelor,employed,80853.97776816764,568,26953.13,0.312,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-11,201501_35,2015,1,W,1.0,female,white,30-44,bachelor,employed,83213.29921453142,628,27739.62,0.329,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-03,201501_36,2015,1,MW,1.0,female,other,30-44,bachelor,employed,76765.51172197379,624,25590.21,0.344,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-08,201501_37,2015,1,NE,1.0,female,hispanic,45-59,bachelor,employed,62629.44216522082,581,20877.88,0.294,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-14,201501_38,2015,1,S,1.0,male,white,18-29,phd,employed,107080.52730044989,639,35695.89,0.286,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-14,201501_39,2015,1,MW,1.0,male,white,60+,highschool,employed,33482.923503702965,540,11161.72,0.248,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-10,201501_40,2015,1,NE,1.0,female,white,18-29,bachelor,employed,70949.17979877433,633,23651.31,0.382,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-02,201501_41,2015,1,MW,1.0,female,white,60+,master,unemployed,22153.038983469716,582,7384.84,0.18,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-14,201501_42,2015,1,NE,1.0,female,white,18-29,bachelor,employed,84306.62946807136,589,28104.09,0.324,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-09,201501_43,2015,1,W,1.0,female,black,45-59,bachelor,employed,54938.76944531024,625,18314.15,0.219,0.01,1,18063.529,5.7,1.88,234.747,98.1,
2015-01-03,201501_44,2015,1,MW,1.0,female,white,30-44,master,employed,99458.01606674553,599,33154.89,0.25,0.01,1,18063.529,5.7,1.88,234.747,98.1,
