applicant_id,issue_date,year,month,region,region_unemp,gender,race,age_group,education,employment_status,annual_income,credit_score,loan_amount,debt_to_income,interest_rate,default
201501_0,2015-01-14,2015,1,MW,0.04543523534119086,female,white,18-29,master,employed,84694.52,684,17740.2,0.211,0.01,0
201501_1,2015-01-04,2015,1,W,0.046504963247670665,female,asian,45-59,other,unemployed,8000.0,624,4801.24,0.244,0.01,1
201501_2,2015-01-06,2015,1,S,0.05545880388267751,female,white,30-44,other,employed,37097.75,623,6971.89,0.214,0.01,0
201501_3,2015-01-19,2015,1,S,0.045062155426995536,female,white,18-29,bachelor,employed,79254.01,645,20301.54,0.144,0.01,0
201501_4,2015-01-06,2015,1,NE,0.04890164056081244,male,white,18-29,master,employed,97961.25,683,34730.65,0.358,0.0496,1
201501_5,2015-01-02,2015,1,NE,0.05178556285755873,female,white,45-59,other,employed,36639.76,624,8775.7,0.326,0.01,0
201501_6,2015-01-18,2015,1,NE,0.057389470223707585,male,hispanic,18-29,master,employed,92337.14,651,27681.38,0.207,0.01,0
201501_7,2015-01-13,2015,1,W,0.04540864890863176,male,black,45-59,highschool,employed,33803.25,641,5638.11,0.173,0.01,0
201501_8,2015-01-09,2015,1,S,0.050957531985534064,female,white,45-59,bachelor,employed,38118.75,635,9389.73,0.22,0.01,1
201501_9,2015-01-23,2015,1,S,0.052491214782077314,male,white,18-29,highschool,employed,27719.14,691,14012.99,0.273,0.01,0
201501_10,2015-01-19,2015,1,NE,0.054577010588510375,female,white,18-29,other,employed,21192.08,543,2790.15,0.296,0.01,0
201501_11,2015-01-13,2015,1,W,0.049643755548298425,female,white,60+,bachelor,employed,67984.87,697,24246.01,0.331,0.01,0
201501_12,2015-01-11,2015,1,W,0.045351198981164804,female,white,30-44,highschool,employed,46384.18,692,14427.05,0.188,0.01,0
201501_13,2015-01-01,2015,1,NE,0.05256633716556678,male,white,30-44,bachelor,employed,85014.37,595,19003.73,0.144,0.01,0
201501_14,2015-01-24,2015,1,NE,0.050485387746740204,male,white,45-59,bachelor,employed,71519.27,649,20409.45,0.103,0.01,1
201501_15,2015-01-22,2015,1,NE,0.05484322495266445,female,black,60+,bachelor,unemployed,9001.99,612,6140.72,0.139,0.01,0
201501_16,2015-01-07,2015,1,MW,0.041489734530613234,male,black,60+,highschool,employed,41012.06,591,12740.25,0.188,0.01,0
201501_17,2015-01-25,2015,1,S,0.05336168926701116,female,white,45-59,bachelor,employed,36388.65,616,2816.26,0.326,0.01,0
201501_18,2015-01-21,2015,1,MW,0.04303945923433921,female,white,30-44,bachelor,employed,64106.15,618,13117.99,0.164,0.01,0
201501_19,2015-01-15,2015,1,MW,0.0376824252593394,female,black,18-29,master,employed,73923.65,728,17490.84,0.266,0.01,0
201501_20,2015-01-01,2015,1,S,0.05648060138532288,male,white,45-59,bachelor,employed,43714.14,680,10630.8,0.199,0.01,0
201501_21,2015-01-12,2015,1,NE,0.051305276360899446,male,hispanic,30-44,master,employed,91762.54,720,25423.32,0.283,0.01,1
201501_22,2015-01-26,2015,1,MW,0.0450255672832123,female,black,30-44,bachelor,employed,54019.96,672,14215.8,0.377,0.01,0
201501_23,2015-01-07,2015,1,MW,0.04382706433312426,male,white,60+,bachelor,employed,57597.12,614,9057.9,0.153,0.01,0
201501_24,2015-01-15,2015,1,MW,0.037923146289747925,male,white,18-29,master,employed,87077.82,660,23290.25,0.216,0.01,0
201501_25,2015-01-21,2015,1,S,0.052896773386173206,female,black,30-44,bachelor,employed,70676.93,672,20111.58,0.273,0.01,0
201501_26,2015-01-19,2015,1,NE,0.048286427417366155,female,white,18-29,highschool,employed,45918.66,605,13718.83,0.298,0.01,0
201501_27,2015-01-25,2015,1,S,0.05098861365389191,female,white,30-44,highschool,employed,40282.21,670,14393.67,0.329,0.01,0
201501_28,2015-01-01,2015,1,S,0.054193571441669953,female,other,18-29,master,employed,68081.39,661,20356.04,0.291,0.01,0
201501_29,2015-01-17,2015,1,NE,0.0520202542840727,male,white,18-29,bachelor,employed,59751.56,642,16774.61,0.225,0.01,0
201501_30,2015-01-17,2015,1,S,0.06443092950605266,female,white,18-29,master,employed,84803.36,702,20920.18,0.291,0.01,0
201501_31,2015-01-03,2015,1,NE,0.050872889064159196,female,black,30-44,highschool,self-employed,23984.96,648,1000.0,0.278,0.01,0
201501_32,2015-01-12,2015,1,NE,0.051287751953613826,male,white,45-59,highschool,employed,44815.66,635,12922.39,0.257,0.01,1
201501_33,2015-01-06,2015,1,W,0.04762777042116916,female,white,30-44,highschool,employed,41423.43,686,11186.61,0.235,0.01,0
201501_34,2015-01-26,2015,1,W,0.03840614392350479,female,other,60+,bachelor,employed,72714.8,624,19265.01,0.265,0.01,0
201501_35,2015-01-11,2015,1,W,0.04786743062275391,female,white,30-44,bachelor,employed,74836.62,684,13602.16,0.282,0.01,1
201501_36,2015-01-03,2015,1,MW,0.045301151049705134,female,other,30-44,bachelor,employed,69037.9,680,12935.25,0.297,0.01,0
201501_37,2015-01-08,2015,1,NE,0.062316210562426436,female,hispanic,45-59,bachelor,employed,56324.84,637,18293.82,0.246,0.01,0
201501_38,2015-01-14,2015,1,S,0.054038195176094386,male,white,18-29,phd,employed,96301.25,695,23917.09,0.238,0.01,0
201501_39,2015-01-14,2015,1,MW,0.04650773671166806,male,white,60+,highschool,employed,30112.36,596,10254.09,0.2,0.01,0
201501_40,2015-01-10,2015,1,NE,0.049826441151473784,female,white,18-29,bachelor,employed,63807.07,689,16065.04,0.334,0.01,0
201501_41,2015-01-02,2015,1,MW,0.03915660981190234,female,white,60+,master,unemployed,19923.0,638,5099.78,0.133,0.01,1
201501_42,2015-01-14,2015,1,NE,0.05571411407257511,female,white,18-29,bachelor,employed,75819.89,645,22708.11,0.276,0.01,0
201501_43,2015-01-09,2015,1,W,0.051759665163433874,female,black,45-59,bachelor,employed,49408.35,681,10287.91,0.172,0.01,0
